                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0824,                 0.5453,                 1.0382,                0.93093,                0.97611,                0.96611,                0.67074,                 1.2134,                0.51842,                 1.1741,               0.007756,               0.007756,               0.007756
                     36,                 1.0833,                0.54317,                 1.0385,                0.92863,                0.97709,                0.96751,                0.67235,                 1.2032,                0.51411,                 1.1714,                0.00769,                0.00769,                0.00769
                     37,                  1.078,                0.53666,                 1.0348,                0.93125,                0.97063,                0.96482,                0.67642,                 1.1899,                0.51201,                 1.1711,               0.007624,               0.007624,               0.007624
                     38,                 1.0783,                0.54163,                 1.0344,                0.92489,                0.97617,                0.96655,                0.67606,                 1.1971,                0.51951,                 1.1714,               0.007558,               0.007558,               0.007558
                     39,                 1.0724,                0.53515,                 1.0361,                0.93111,                0.96622,                0.96727,                0.67427,                  1.208,                0.53204,                 1.1771,               0.007492,               0.007492,               0.007492
                     40,                 1.0768,                0.53288,                  1.033,                0.92303,                0.97437,                0.96505,                0.67341,                 1.1999,                0.51654,                 1.1739,               0.007426,               0.007426,               0.007426
                     41,                 1.0697,                 0.5312,                 1.0352,                0.92305,                0.97583,                0.96806,                0.67402,                  1.201,                0.51737,                 1.1753,                0.00736,                0.00736,                0.00736
                     42,                 1.0712,                0.52902,                 1.0343,                0.92608,                0.97626,                0.96702,                 0.6816,                 1.1845,                0.50142,                 1.1676,               0.007294,               0.007294,               0.007294
                     43,                 1.0677,                0.53158,                 1.0327,                0.92759,                0.96954,                0.96834,                0.67767,                 1.2015,                0.51096,                 1.1759,               0.007228,               0.007228,               0.007228
                     44,                 1.0684,                0.53047,                 1.0291,                0.92897,                0.97405,                 0.9662,                0.67234,                 1.2072,                0.51097,                 1.1706,               0.007162,               0.007162,               0.007162
                     45,                 1.0615,                 0.5249,                 1.0271,                0.92329,                0.97646,                0.96477,                0.67728,                 1.1917,                0.50653,                 1.1711,               0.007096,               0.007096,               0.007096
                     46,                 1.0594,                0.52447,                 1.0321,                0.93371,                0.96346,                  0.967,                0.66908,                 1.2175,                0.51932,                 1.1773,                0.00703,                0.00703,                0.00703
                     47,                 1.0601,                0.52209,                   1.03,                0.93113,                0.97063,                0.96568,                0.67252,                 1.2059,                0.51176,                 1.1747,               0.006964,               0.006964,               0.006964
                     48,                 1.0607,                0.52072,                 1.0292,                0.92524,                0.97832,                0.96551,                0.66939,                 1.2213,                0.51589,                 1.1776,               0.006898,               0.006898,               0.006898
                     49,                 1.0535,                0.51779,                 1.0272,                0.93016,                0.97645,                0.96836,                0.67819,                 1.1987,                0.50473,                 1.1735,               0.006832,               0.006832,               0.006832
                     50,                 1.0512,                 0.5161,                 1.0268,                0.92702,                0.97564,                0.96577,                0.67433,                 1.2046,                0.50383,                 1.1747,               0.006766,               0.006766,               0.006766
                     51,                  1.054,                0.51975,                 1.0268,                0.93625,                0.96811,                0.96665,                0.66944,                  1.217,                0.51004,                 1.1754,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.0522,                 0.5154,                 1.0267,                0.93105,                0.96122,                0.96666,                0.67778,                 1.1971,                0.52666,                  1.171,               0.006634,               0.006634,               0.006634
                     53,                 1.0499,                0.51328,                 1.0269,                0.93379,                0.97103,                0.96517,                0.67526,                 1.2089,                0.51231,                 1.1766,               0.006568,               0.006568,               0.006568
                     54,                 1.0493,                0.51266,                 1.0229,                0.92858,                0.96202,                0.96505,                0.67792,                 1.1916,                0.51865,                 1.1718,               0.006502,               0.006502,               0.006502
                     55,                 1.0445,                 0.5091,                 1.0257,                0.92831,                0.97172,                0.96447,                0.67273,                 1.2131,                0.50799,                 1.1818,               0.006436,               0.006436,               0.006436
                     56,                 1.0453,                0.51081,                  1.023,                 0.9329,                0.96684,                0.96575,                0.67093,                  1.227,                0.51484,                 1.1807,                0.00637,                0.00637,                0.00637
                     57,                 1.0439,                0.50909,                 1.0254,                 0.9343,                0.96948,                0.96546,                0.67085,                 1.2174,                0.50117,                  1.179,               0.006304,               0.006304,               0.006304
                     58,                 1.0387,                0.50427,                 1.0228,                0.94022,                0.96081,                0.96724,                0.67702,                 1.2111,                0.50307,                 1.1791,               0.006238,               0.006238,               0.006238
                     59,                  1.042,                0.50478,                 1.0253,                 0.9328,                0.97116,                0.96601,                0.67691,                 1.2085,                0.49944,                 1.1817,               0.006172,               0.006172,               0.006172
                     60,                 1.0398,                0.50301,                 1.0249,                0.92534,                 0.9734,                0.96523,                0.67435,                 1.2086,                0.50631,                 1.1807,               0.006106,               0.006106,               0.006106
                     61,                 1.0352,                0.50057,                 1.0223,                0.92846,                0.96955,                0.96439,                0.67241,                 1.2044,                0.50468,                 1.1839,                0.00604,                0.00604,                0.00604
                     62,                 1.0326,                0.49654,                 1.0196,                0.92918,                0.95774,                0.96435,                0.67561,                 1.2073,                0.51592,                 1.1758,               0.005974,               0.005974,               0.005974
                     63,                 1.0315,                 0.4982,                 1.0206,                0.93973,                0.95894,                0.96682,                0.66935,                 1.2207,                0.50251,                 1.1819,               0.005908,               0.005908,               0.005908
                     64,                 1.0267,                0.49503,                   1.02,                0.93489,                0.96743,                0.96748,                0.67427,                 1.2122,                0.50137,                 1.1804,               0.005842,               0.005842,               0.005842
                     65,                 1.0278,                0.49239,                 1.0193,                 0.9356,                0.97267,                0.96658,                 0.6739,                 1.2206,                0.49915,                 1.1846,               0.005776,               0.005776,               0.005776
                     66,                  1.023,                0.49038,                 1.0151,                 0.9345,                0.96816,                0.96532,                0.67412,                 1.2122,                0.50219,                 1.1802,                0.00571,                0.00571,                0.00571
                     67,                 1.0238,                0.49111,                 1.0147,                0.93542,                   0.96,                0.96451,                0.66449,                 1.2349,                0.50863,                 1.1878,               0.005644,               0.005644,               0.005644
                     68,                  1.019,                0.49042,                 1.0176,                0.93308,                0.97053,                0.96654,                0.67323,                 1.2171,                0.50114,                 1.1838,               0.005578,               0.005578,               0.005578
                     69,                 1.0179,                 0.4894,                 1.0173,                 0.9233,                0.97266,                0.96647,                0.66922,                 1.2227,                0.50034,                 1.1882,               0.005512,               0.005512,               0.005512
                     70,                 1.0167,                0.48559,                 1.0126,                0.93429,                0.96243,                0.96612,                0.67034,                 1.2177,                0.49839,                  1.181,               0.005446,               0.005446,               0.005446
                     71,                 1.0155,                0.48158,                 1.0151,                0.93367,                0.95863,                0.96343,                0.66943,                 1.2217,                0.50652,                 1.1865,                0.00538,                0.00538,                0.00538
                     72,                 1.0115,                0.48543,                 1.0142,                0.92855,                0.96996,                0.96447,                0.66493,                 1.2317,                0.50235,                 1.1859,               0.005314,               0.005314,               0.005314
                     73,                 1.0117,                0.48319,                 1.0135,                0.92888,                0.96995,                0.96596,                0.66672,                 1.2267,                 0.4958,                 1.1856,               0.005248,               0.005248,               0.005248
                     74,                 1.0104,                0.48179,                 1.0187,                0.92501,                0.97398,                0.96482,                0.67058,                 1.2126,                 0.4926,                 1.1835,               0.005182,               0.005182,               0.005182
                     75,                 1.0115,                0.48199,                 1.0133,                0.93243,                0.96537,                0.96389,                0.66668,                 1.2266,                0.50167,                  1.187,               0.005116,               0.005116,               0.005116
                     76,                 1.0073,                0.48019,                 1.0124,                0.93029,                0.96121,                0.96477,                0.66983,                 1.2224,                0.50596,                 1.1897,                0.00505,                0.00505,                0.00505
                     77,                 1.0008,                0.47401,                 1.0089,                0.93509,                0.96832,                0.96333,                0.66488,                 1.2338,                0.49923,                 1.1918,               0.004984,               0.004984,               0.004984
                     78,                 1.0069,                0.47723,                 1.0124,                0.93278,                0.96887,                0.96475,                0.66263,                  1.233,                0.49626,                 1.1876,               0.004918,               0.004918,               0.004918
                     79,                0.99883,                0.47696,                 1.0091,                0.92679,                0.96534,                0.96221,                0.66328,                 1.2324,                 0.5079,                 1.1872,               0.004852,               0.004852,               0.004852
